City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
bredasdorp,78,ZA,1574006656,48,-34.53,20.04,64.4,13.87
airai,82,TL,1574006707,59,-8.93,125.41,67.26,2.95
georgetown,75,GY,1574006484,74,6.8,-58.16,86,9.17
chihuahua,75,MX,1574006707,82,28.66,-106.08,63,4.05
ubatuba,20,BR,1574006454,51,-23.43,-45.08,80.6,5.82
albany,20,US,1574006569,36,42.65,-73.75,33.8,4
santa fe,0,AR,1574006487,20,-31.62,-60.7,91.99,5.99
cape town,20,ZA,1574006708,48,-33.93,18.42,64.99,23.04
hermanus,1,ZA,1574006550,60,-34.42,19.24,64,5.99
talaya,75,RU,1574006709,92,55.79,84.89,19.4,13.42
ribeira grande,40,PT,1574006709,68,38.52,-28.7,68,11.41
avera,90,US,1574006709,57,33.19,-82.53,53.01,5.82
vanatori,90,RO,1574006709,87,45.73,27.25,55.4,9.17
belmonte,97,PT,1574006710,95,40.36,-7.35,53.01,7
hithadhoo,17,MV,1574006710,77,-0.6,73.08,82.69,16.24
sitka,0,US,1574006710,62,37.17,-99.65,48.99,8.01
hobart,40,AU,1574006710,50,-42.88,147.33,51.8,17.22
novska,100,HR,1574006710,87,45.34,16.98,55.4,3.36
traralgon,100,AU,1574006711,87,-38.19,146.54,46,2.44
hilo,40,US,1574006711,83,19.71,-155.08,73.4,5.82
hofn,0,IS,1574006711,52,64.25,-15.21,32,9.17
mataura,100,NZ,1574006711,91,-46.19,168.86,45,5.99
sao filipe,34,CV,1574006711,80,14.9,-24.5,74.55,12.24
jamestown,7,AU,1574006712,40,-33.21,138.6,57.06,4.5
boa vista,75,BR,1574006618,78,2.82,-60.67,80.6,3.36
bluff,0,AU,1574006712,62,-23.58,149.07,74.46,9.46
mar del plata,0,AR,1574006712,20,-46.43,-67.52,65.61,30.29
lagoa,20,PT,1574006713,82,37.14,-8.45,68,16.11
bethel,90,US,1574006713,84,60.79,-161.76,8.6,5.82
whitehorse,90,CA,1574006713,100,60.72,-135.06,26.01,4.7
clyde river,90,CA,1574006713,84,70.47,-68.59,8.6,19.46
talnakh,61,RU,1574006714,75,69.49,88.39,-13,11.18
makakilo city,1,US,1574006634,94,21.35,-158.09,78.8,9.17
chagoda,100,RU,1574006714,96,59.16,35.33,41.97,6.15
itanhandu,20,BR,1574006714,44,-22.3,-44.93,80.6,6.93
mehamn,28,NO,1574006714,85,71.03,27.85,19.4,8.05
port lincoln,64,AU,1574006714,82,-34.72,135.86,55.29,6.71
arraial do cabo,75,BR,1574006715,65,-22.97,-42.02,77,13.87
robertsport,79,LR,1574006715,72,6.75,-11.37,82.17,5.97
maymyo,0,MM,1574006715,83,22.03,96.47,69.8,1.68
atuona,31,PF,1574006715,74,-9.8,-139.03,79.09,14.03
hammerfest,100,NO,1574006716,63,70.66,23.68,32,17.22
provideniya,85,RU,1574006716,86,64.42,-173.23,15.12,7.96
mont-de-marsan,100,FR,1574006716,100,43.89,-0.5,52,2.24
sistranda,75,NO,1574006716,75,63.73,8.83,42.01,8.05
tuktoyaktuk,75,CA,1574006716,77,69.44,-133.03,-2.2,9.17
ust-maya,100,RU,1574006717,98,60.42,134.54,-14.87,2.57
hailar,100,CN,1574006717,94,49.2,119.7,8.06,13.89
tasiilaq,75,GL,1574006717,58,65.61,-37.64,30.2,29.97
ulu-telyak,100,RU,1574006717,95,54.91,56.98,30.76,4.92
vyshneve,90,UA,1574006717,100,50.39,30.37,48.2,6.71
tiksi,91,RU,1574006717,95,71.64,128.87,-2.02,5.53
williamsburg,90,US,1574006504,70,37.27,-76.71,46.99,9.17
abu samrah,0,SY,1574006718,22,35.3,37.18,60.58,8.97
bakchar,100,RU,1574006718,95,57.02,82.07,22.03,7.49
bambous virieux,75,MU,1574006718,88,-20.34,57.76,77,12.75
axim,73,GH,1574006718,71,4.87,-2.24,85.14,8.63
fare,99,PF,1574006719,85,-16.7,-151.02,78.71,18.21
haines junction,100,CA,1574006719,96,60.75,-137.51,26.83,4.47
taksimo,100,RU,1574006671,86,56.36,114.84,-11.78,3.02
bogorodsk,90,RU,1574006720,100,56.1,43.52,39,4.47
russell,1,US,1574006720,70,38.9,-98.86,53.01,9.17
yatou,40,CM,1574006720,70,3.63,9.81,87.8,4.7
ponta do sol,48,BR,1574006720,64,-20.63,-46,79.77,4.16
okhotsk,30,RU,1574006721,75,59.36,143.24,-2.07,16.87
teguldet,100,RU,1574006721,92,57.31,88.17,14.7,10.71
dafeng,100,CN,1574006721,72,33.2,120.46,52.97,22.64
djibo,92,BF,1574006721,11,14.1,-1.63,97.48,13.51
abha,75,SA,1574006488,72,18.22,42.5,64.4,5.82
carutapera,76,BR,1574006722,75,-1.2,-46.02,82.27,16.4
pulivendla,3,IN,1574006722,77,14.42,78.23,76.66,7.96
upernavik,0,GL,1574006722,56,72.79,-56.15,7.97,10.11
guerrero negro,0,MX,1574006722,80,27.97,-114.04,64.44,1.57
nome,1,US,1574006723,51,30.04,-94.42,59,3.22
punta arenas,75,CL,1574006723,61,-53.16,-70.91,51.01,23.04
ust-kuyga,96,RU,1574006723,99,70,135.55,-13.16,5.7
asmara,0,ER,1574006723,68,15.34,38.93,72.95,6.22
san carlos,100,NI,1574006724,1,11.12,-84.78,73.99,18.99
mukhen,68,RU,1574006724,76,48.19,136.14,12.15,3.15
beringovskiy,100,RU,1574006724,79,63.05,179.32,29.1,17.31
gawler,53,AU,1574006724,76,-34.6,138.75,55,5.82
pisco,90,PE,1574006724,30,-13.71,-76.2,71.6,6.93
komsomolskiy,8,RU,1574006724,89,67.55,63.78,-8.91,7.34
alugan,100,PH,1574006725,86,12.22,125.48,78.19,5.79
leningradskiy,100,RU,1574006725,91,69.38,178.42,17.4,10.69
hasaki,40,JP,1574006725,71,35.73,140.83,51.8,6.93
henties bay,2,NA,1574006725,81,-22.12,14.28,64,5.99
faanui,89,PF,1574006726,86,-16.48,-151.75,78.39,18.5
taoudenni,87,ML,1574006726,14,22.68,-3.98,78.28,13.4
xanxere,1,BR,1574006726,46,-26.88,-52.4,81.19,5.88
caravelas,100,BR,1574006726,63,-17.73,-39.27,83.25,10
hobyo,70,SO,1574006726,71,5.35,48.53,82.35,19.64
katsuura,75,JP,1574006726,82,33.93,134.5,57,8.05
bow island,75,CA,1574006727,75,49.87,-111.38,44.01,10.29
chumikan,80,RU,1574006727,86,54.72,135.31,1.81,6.04
taloqan,0,AF,1574006727,61,36.74,69.54,39.67,0.85
palauig,100,PH,1574006727,87,15.44,119.9,74.25,3.42
miyako,0,JP,1574006457,59,33.63,130.94,64,20.8
qaanaaq,0,GL,1574006728,59,77.48,-69.36,5.22,7.29
tuatapere,100,NZ,1574006728,91,-46.13,167.69,45,5.99
catuday,100,PH,1574006728,78,16.29,119.81,82.74,4.43
ahipara,6,NZ,1574006728,100,-35.17,173.16,64,19.95
devils lake,90,US,1574006728,100,48.11,-98.87,30.2,6.93
zhicheng,61,CN,1574006729,14,35.04,112.59,41.68,1.81
mahebourg,75,MU,1574006729,88,-20.41,57.7,77,12.75
fort nelson,90,CA,1574006729,77,58.81,-122.69,1.4,6.93
castro,75,CL,1574006729,76,-42.48,-73.76,55.4,9.17
mandalgovi,91,MN,1574006729,49,45.76,106.27,-2.81,7.56
kavieng,100,PG,1574006730,77,-2.57,150.8,81.5,6.22
wukari,22,NG,1574006730,29,7.87,9.78,95.4,3.78
claremont,1,US,1574006730,14,34.1,-117.72,78.8,3.36
the valley,40,AI,1574006490,69,18.22,-63.06,86,10.29
ancud,75,CL,1574006730,76,-41.87,-73.83,55.4,9.17
hukuntsi,55,BW,1574006731,10,-23.98,21.76,95.32,13.15
port hedland,0,AU,1574006731,88,-20.31,118.58,77,6.93
sangar,100,RU,1574006731,98,63.92,127.47,-19.89,0.92
husavik,68,CA,1574006731,90,50.56,-96.99,26.01,5.99
pimentel,59,BR,1574006731,44,-3.7,-45.5,94.37,7.67
kaitangata,100,NZ,1574006732,87,-46.28,169.85,48.24,18.52
shingu,69,JP,1574006732,64,33.72,135.99,65.28,8.66
new norfolk,40,AU,1574006732,50,-42.78,147.06,51.8,17.22
harper,90,US,1574006732,82,30.3,-99.24,57.99,9.17
agirish,100,RU,1574006733,90,61.92,63.02,14.45,10.69
avarua,5,CK,1574006733,88,-21.21,-159.78,71.6,3.36
longyearbyen,40,NO,1574006733,68,78.22,15.63,28.4,11.41
butaritari,100,KI,1574006733,80,3.07,172.79,82.71,17.56
broome,40,GB,1574006733,93,52.47,1.45,46.99,1.12
kabanjahe,40,ID,1574006734,88,3.1,98.49,78.8,3.36
yulara,0,AU,1574006734,11,-25.24,130.99,75.2,6.93
soyo,40,AO,1574006734,74,-6.13,12.37,86,9.17
cam ranh,40,VN,1574006734,83,11.92,109.15,80.6,8.05
hervey bay,90,AU,1574006734,78,-25.3,152.85,77,11.41
darhan,0,MN,1574006735,90,49.49,105.92,-13.67,5.57
ambilobe,49,MG,1574006735,63,-13.19,49.05,85.14,7.67
valentin gomez farias,90,MX,1574006735,100,24.05,-104.7,55,4.41
bubaque,100,GW,1574006735,69,11.28,-15.83,83.79,10.69
northam,0,AU,1574006736,88,-31.65,116.67,62.6,4.7
chokurdakh,100,RU,1574006736,98,70.62,147.9,-11.13,6.67
sinazongwe,52,ZM,1574006736,55,-17.26,27.46,87.57,11.34
coolum beach,64,AU,1574006736,92,-26.53,153.09,64.99,3
namibe,44,AO,1574006736,79,-15.19,12.15,71.58,13.35
kotka,75,FI,1574006737,93,60.47,26.95,43,8.05
barrow,100,AR,1574006737,40,-38.31,-60.23,80.29,15.12
namatanai,83,PG,1574006737,78,-3.66,152.44,82.45,11.63
yellowknife,90,CA,1574006738,84,62.45,-114.38,6.8,12.75
south yuba city,1,US,1574006738,81,39.12,-121.64,54,1.9
port elizabeth,90,US,1574006738,64,39.31,-74.98,43,18.34
tuy hoa,29,VN,1574006738,78,13.08,109.3,78.33,5.93
santa maria,75,BR,1574006738,73,-16.02,-48.01,75.2,13.87
uhlove,0,UA,1574006739,73,44.82,33.6,56.21,13.67
aguimes,75,ES,1574006739,60,27.91,-15.45,68,21.92
dondo,20,MZ,1574006739,58,-19.62,34.74,84.2,18.34
lasa,0,CY,1574006739,49,34.92,32.53,71.6,2.24
moroni,75,GR,1574006739,82,35.09,24.92,66.99,3.36
chicama,90,PE,1574006740,88,-7.84,-79.15,64.4,8.05
padang,100,ID,1574006740,95,-0.92,100.36,68.25,2.75
ushtobe,0,KZ,1574006740,41,45.25,77.98,27.88,1.52
victoria,75,BN,1574006644,78,5.28,115.24,80.6,3.36
narsaq,100,GL,1574006740,51,60.91,-46.05,37.4,31.09
porto novo,40,BR,1574006741,51,-23.68,-45.44,80.6,3.36
souillac,90,FR,1574006741,93,45.6,-0.6,45,3.36
mayo,90,CA,1574006741,84,63.59,-135.9,8.6,8.05
vestmannaeyjar,40,IS,1574006741,72,63.44,-20.27,37.4,4.7
carnarvon,15,ZA,1574006649,10,-30.97,22.13,79.3,20.51
floro,50,NO,1574006742,80,61.6,5.03,39.2,9.17
zhezkazgan,0,KZ,1574006742,31,47.8,67.71,29.48,8.5
norman wells,75,CA,1574006742,83,65.28,-126.83,-4,3.36
cervo,40,BR,1574006742,69,-22.19,-46.24,73.4,5.32
sorland,40,NO,1574006742,65,67.67,12.69,41,12.75
buritis,100,BR,1574006743,54,-15.62,-46.42,87.53,1.92
road town,40,VG,1574006743,78,18.42,-64.62,87.8,6.93
tessalit,23,ML,1574006743,14,20.2,1.01,88.2,11.74
benjamin aceval,18,PY,1574006743,26,-24.97,-57.57,91.4,4.7
dikson,6,RU,1574006743,85,73.51,80.55,-8.72,4.27
vaini,67,IN,1574006744,77,15.34,74.49,71.71,5.88
torbay,20,CA,1574006744,59,47.66,-52.73,37,28.86
pacific grove,1,US,1574006744,44,36.62,-121.92,60.8,4.7
shaunavon,100,CA,1574006745,81,49.65,-108.41,33.42,15.19
te anau,100,NZ,1574006745,95,-45.41,167.72,38.55,4.16
rylsk,100,RU,1574006745,87,51.57,34.68,38.64,6.13
lucera,75,IT,1574006745,93,41.51,15.34,54,9.17
bataipora,0,BR,1574006745,31,-22.3,-53.27,93.25,4.85
college,90,US,1574006746,77,64.86,-147.8,5,1.61
almaznyy,0,RU,1574006746,75,48.03,40.04,46.4,13.42
marzuq,0,YE,1574006746,49,14.4,46.47,72.14,13.47
cayenne,75,GF,1574006661,55,4.94,-52.33,91.4,13.87
kruisfontein,0,ZA,1574006746,62,-34,24.73,61.27,26.57
mandera,61,ET,1574006746,28,3.94,41.86,89.01,1.01
klyuchi,100,RU,1574006747,89,52.25,79.17,23.61,15.79
pevek,100,RU,1574006747,97,69.7,170.27,2.55,7
santiago de chuco,7,PE,1574006747,47,-8.15,-78.17,53.46,0.92
maceio,40,BR,1574006747,55,-9.67,-35.74,87.8,19.46
tyukhtet,100,RU,1574006748,93,56.54,89.31,12.9,10.85
lazaro cardenas,75,MX,1574006748,82,28.39,-105.62,63,2.21
obanazawa,100,JP,1574006749,69,38.6,140.43,36.64,2.64
marienburg,75,DE,1574006749,93,52.12,9.98,42.01,8.05
orchard homes,90,US,1574006749,80,46.86,-114.05,39.99,3.36
bucerias,90,MX,1574006616,94,20.76,-105.33,78.01,12.37
qasigiannguit,81,GL,1574006750,55,68.82,-51.19,11.61,5.73
labranzagrande,70,CO,1574006750,64,5.56,-72.58,74.7,5.1
faya,75,SA,1574006750,72,18.39,42.45,64.4,5.82
digha,0,IN,1574006750,66,21.62,87.51,79.38,5.23
hutang,91,CN,1574006751,65,29.22,119.85,65.62,6.6
nikolskoye,75,RU,1574006751,93,59.7,30.79,46,6.71
salalah,20,OM,1574006751,57,17.01,54.1,80.6,9.17
puri,24,ID,1574006751,73,-7.54,112.45,77.45,3.2
alofi,92,NU,1574006751,100,-19.06,-169.92,62.6,3.29
cidreira,0,BR,1574006752,65,-30.17,-50.22,68.36,8.9
lac-megantic,20,CA,1574006752,66,45.58,-70.88,25,2.24
dong hoi,1,VN,1574006752,93,17.48,106.6,72.48,5.06
amapa,75,HN,1574006752,78,15.09,-87.97,77,2.24
bowen,54,AU,1574006752,88,-20.01,148.25,77,3.36
kununurra,44,AU,1574006753,49,-15.77,128.74,71.6,3.36
glace bay,75,CA,1574006753,59,46.2,-59.96,37.99,12.75
cherskiy,89,RU,1574006753,97,68.75,161.3,-9.44,4.52
midyat,0,TR,1574006753,43,37.42,41.36,53.6,5.82
sigli,90,ID,1574006754,69,5.38,95.96,82.81,2.57
tigre,4,AR,1574006754,45,-34.42,-58.58,88,11.41
kilindoni,100,TZ,1574006754,80,-7.91,39.67,82.78,15.52
esperance,90,AU,1574006755,100,-33.86,121.89,59,11.41
naze,75,NG,1574006755,66,5.43,7.07,91.4,3.36
san lorenzo,0,HN,1574006755,58,13.43,-87.45,82.4,2.24
mackay,40,CA,1574006755,100,53.65,-115.58,37.4,4.7
san lazaro,75,BZ,1574006756,73,18.04,-88.66,71.6,6.93
nantucket,90,US,1574006756,56,41.28,-70.1,44.6,14.99
kahului,75,US,1574006756,83,20.89,-156.47,75.2,5.82
diamantino,94,BR,1574006756,69,-14.4,-56.44,84.07,4.16
waddan,0,LY,1574006757,29,29.16,16.14,70.07,21.88
praxedis guerrero,1,MX,1574006757,52,31.37,-106.02,57,5.82
balakhninskiy,100,RU,1574006757,98,58.01,114.28,-16.42,1.66
coquimbo,40,CL,1574006757,72,-29.95,-71.34,64.4,14.99
fortuna,90,US,1574006757,100,40.6,-124.16,50,3.36
cabo san lucas,75,MX,1574006757,94,22.89,-109.91,75.99,4.7
banugao,100,PH,1574006758,86,14.73,121.63,82,3.94
daru,100,PG,1574006758,93,-9.07,143.21,75.24,5.17
cascais,75,PT,1574006758,93,38.7,-9.42,62.01,9.17
flin flon,90,CA,1574006758,100,54.77,-101.88,24.8,9.17
rawson,19,AR,1574006758,55,-43.3,-65.11,61.3,15.55
kichmengskiy gorodok,100,RU,1574006759,94,59.99,45.81,30.34,2.57
svetlogorsk,40,RU,1574006759,64,53.14,59.15,33.8,8.95
pangai,71,TO,1574006759,71,-19.8,-174.35,75.47,4.9
humboldt,100,CA,1574006759,93,52.21,-105.12,26.92,12.26
klaksvik,83,FO,1574006759,60,62.23,-6.59,37.4,14
nemuro,61,JP,1574006760,69,43.32,145.57,39.83,27.67
alliston,20,CA,1574006572,63,44.15,-79.87,36,8.05
lompoc,1,US,1574006760,53,34.64,-120.46,64.99,5.32
chapais,40,CA,1574006760,61,49.78,-74.86,17.6,11.41
clearwater,90,US,1574006761,81,27.97,-82.8,55.99,5.82
hirara,50,JP,1574006761,83,24.8,125.28,78.58,19.17
betsiamites,1,CA,1574006761,62,48.94,-68.65,21.2,8.05
comrat,51,MD,1574006762,60,46.3,28.66,54.03,8.86
ambulu,89,ID,1574006762,81,-8.35,113.61,81.16,10.49
bay roberts,20,CA,1574006699,59,47.58,-53.28,37,28.86
benguela,20,AO,1574006763,69,-12.58,13.4,82.4,13.87
kisiwani,100,TZ,1574006763,62,-4.13,37.95,79.16,9.01
hvide sande,80,DK,1574006763,93,56.01,8.13,46,3.36
poum,75,MK,1574006763,66,41.28,20.71,51.8,5.35
hami,4,CN,1574006764,22,42.84,93.51,21.43,5.06
santa lucia,40,IT,1574006764,87,41.98,12.66,59,4.7
panaba,11,MX,1574006764,53,21.28,-88.27,75.18,8.05
vanimo,100,PG,1574006764,78,-2.67,141.3,82.63,7.02
portland,40,US,1574006567,63,43.66,-70.25,33.01,10.29
baherden,56,TM,1574006765,41,38.44,57.43,45.12,5.06
les cayes,10,HT,1574006765,71,18.19,-73.75,80.56,4.63
kaeo,0,NZ,1574006765,100,-35.1,173.78,64,3
pangnirtung,38,CA,1574006766,71,66.15,-65.72,5.83,4.03
saskylakh,86,RU,1574006766,97,71.97,114.09,-8.41,7.09
ketchikan,90,US,1574006486,87,55.34,-131.65,51.8,6.55
brae,100,GB,1574006766,93,60.4,-1.35,41,4.7
batagay,100,RU,1574006766,98,67.65,134.64,-16.42,1.48
puerto baquerizo moreno,75,EC,1574006767,78,-0.9,-89.6,73.4,13.87
lavrentiya,100,RU,1574006767,79,65.58,-170.99,22.87,14.74
general roca,100,AR,1574006767,23,-39.03,-67.58,73.4,9.17
fenoarivo,40,MG,1574006767,64,-18.93,47.44,73.4,4.7
sal rei,40,CV,1574006767,61,16.18,-22.92,80.6,14.99
wajima,87,JP,1574006768,60,37.4,136.9,55.56,14.72
iqaluit,40,CA,1574006768,72,63.75,-68.52,10.4,6.93
bridlington,100,GB,1574006768,87,54.08,-0.19,48.2,9.17
margate,40,AU,1574006768,50,-43.03,147.26,51.8,17.22
pouembout,26,NC,1574006769,95,-21.12,164.9,65.46,3.56
samarai,100,PG,1574006769,93,-10.62,150.67,75.06,2.93
hualmay,1,PE,1574006769,54,-11.1,-77.61,74.19,8.86
mokhsogollokh,100,RU,1574006769,96,61.4,128.95,-14.24,4.92
oum hadjer,89,TD,1574006769,11,13.3,19.7,97.18,6.44
chicxulub,75,MX,1574006770,50,21.13,-89.52,77,4.7
mucurapo,40,TT,1574006771,66,10.67,-61.53,86,3.11
bentong,20,MY,1574006771,88,3.52,101.91,78.8,0.63
havre-saint-pierre,1,CA,1574006771,62,50.23,-63.6,21.2,11.41
basco,90,US,1574006771,86,40.33,-91.2,39.2,8.05
sembakung,20,ID,1574006772,78,3.82,117.25,82.4,3.36
coxim,0,BR,1574006772,28,-18.5,-54.75,95.72,3.09
birjand,17,IR,1574006772,18,32.86,59.22,50,0.54
evensk,49,RU,1574006772,73,61.92,159.24,4.19,16.11
aksarka,100,RU,1574006773,97,66.56,67.8,-15.97,13.85
puerto carreno,20,CO,1574006773,66,6.19,-67.49,86,4.7
goderich,33,CA,1574006773,64,43.74,-81.71,34,11.99
bereda,40,ES,1574006773,87,43.27,-7.54,54,10.29
mayor pablo lagerenza,0,PY,1574006774,19,-19.93,-60.77,100.96,2.91
port hawkesbury,75,CA,1574006774,59,45.62,-61.36,37.99,12.75
zhangzhou,0,CN,1574006774,88,24.51,117.65,69.8,2.24
kyzyl-suu,10,KG,1574006775,57,42.34,78,33.98,6.93
egvekinot,38,RU,1574006775,93,66.32,-179.17,4.64,8.79
forfar,20,GB,1574006775,93,56.64,-2.89,39.99,2.24
thompson,90,CA,1574006545,92,55.74,-97.86,17.6,10.29
peniche,75,PT,1574006775,93,39.36,-9.38,59,10.29
canberra,90,AU,1574006776,81,-35.3,149.1,52,3.36
sambava,100,MG,1574006776,82,-14.27,50.17,77.68,2.24
tay ninh,51,VN,1574006776,81,11.3,106.1,78.19,2.86
granadilla de abona,75,ES,1574006776,56,28.12,-16.58,73,24.16
tutoia,75,BR,1574006777,66,-2.76,-42.27,87.8,13.87
vardo,90,US,1574006777,55,39.62,-77.74,39,4.7
beloha,45,MG,1574006777,58,-25.17,45.06,79.7,15.52
poya,93,NC,1574006777,77,-21.35,165.16,73.76,7.38
inuvik,90,CA,1574006777,76,68.36,-133.71,-5.8,5.82
buraydah,40,SA,1574006778,77,26.33,43.97,68,10.29
kinablangan,76,PH,1574006778,88,7.69,126.55,72.3,4.79
itapetinga,100,BR,1574006778,55,-15.25,-40.25,83.91,7.02
qandala,13,SO,1574006779,74,11.47,49.87,78.85,14.2
yar-sale,100,RU,1574006779,100,66.83,70.83,-16.28,11.32
aykhal,90,RU,1574006779,83,65.95,111.51,-9.4,6.02
candolim,40,IN,1574006780,74,15.52,73.76,84.2,6.93
marawi,33,PH,1574006780,94,8,124.29,75.99,4
tevriz,97,RU,1574006780,92,57.51,72.4,26.31,7.7
kandla,0,IN,1574006781,51,23.02,70.21,80.17,10.67
codrington,90,AU,1574006781,88,-28.95,153.24,64.4,6.44
america dourada,54,BR,1574006767,35,-11.46,-41.44,89.46,7.49
yerbogachen,0,RU,1574006781,96,61.28,108.01,-26.05,2.82
dodge city,1,US,1574006782,65,37.75,-100.02,48.99,10.29
saint-pierre,100,FR,1574006782,93,48.95,4.24,42.01,6.93
san patricio,32,PY,1574006782,35,-26.98,-56.83,85.68,4.79
dhidhdhoo,100,MV,1574006760,76,6.88,73.1,83.35,11.9
alterosa,80,BR,1574006783,73,-21.25,-46.14,74.7,5.37
tulum,5,MX,1574006783,65,20.21,-87.46,77,17.22
kavaratti,0,IN,1574006783,76,10.57,72.64,83.7,7.54
lichinga,100,MZ,1574006783,90,-13.3,35.25,69.12,4.47
yuci,0,CN,1574006784,14,37.68,112.73,26.6,15.66
araouane,0,ML,1574006784,17,18.9,-3.53,85.01,8.32
sulangan,100,PH,1574006784,74,11.14,123.72,82.83,3.53
miles city,1,US,1574006771,68,46.41,-105.84,37.99,8.05
varna,90,BG,1574006643,77,43.22,27.9,59,10.29
lebyazhye,75,RU,1574006785,93,59.96,29.42,46,6.71
saint george,75,GR,1574006785,87,39.45,22.34,59,6.17
zhigansk,100,RU,1574006785,97,66.77,123.37,-11.2,4.21
port blair,0,IN,1574006785,71,11.67,92.75,82.76,7.87
sur,0,OM,1574006786,62,22.57,59.53,75.02,12.15
mamit,18,IN,1574006786,96,23.92,92.49,64,1.77
stefanesti,100,RO,1574006786,78,44.87,24.93,59,10.98
akdepe,81,TM,1574006786,29,42.05,59.39,35.6,5.12
yeppoon,90,AU,1574006787,73,-23.13,150.74,77,1.12
saint-joseph,0,FR,1574006787,57,43.56,6.97,53.6,17.22
aden,17,YE,1574006583,63,12.79,45.03,79.83,17.34
constitucion,90,MX,1574006787,100,23.99,-104.67,55,4.41
lazarev,0,RU,1574006787,79,52.23,141.51,16.36,13.58
tignere,63,CM,1574006788,31,7.37,12.65,86.79,4.97
kanniyakumari,18,IN,1574006788,77,8.08,77.57,82.9,13.6
beisfjord,99,NO,1574006788,69,68.38,17.6,33.8,12.75
saint-prosper,18,CA,1574006788,41,46.21,-70.48,23,1.01
coihaique,75,CL,1574006789,66,-45.58,-72.07,48.2,14.99
maldonado,0,UY,1574006789,37,-34.91,-54.96,86,5.82
palmas,75,BR,1574006789,88,-10.18,-48.33,75.2,14.99
barentu,9,ER,1574006790,24,15.11,37.59,86.88,8.16
juneau,90,US,1574006790,93,58.3,-134.42,46.4,6.93
visby,72,SE,1574006790,93,57.64,18.3,46,9.17
niquelandia,85,BR,1574006791,42,-14.47,-48.46,90.66,3.62
sarakhs,67,TM,1574006791,49,36.54,61.16,46.4,3.24
bathsheba,40,BB,1574006791,66,13.22,-59.52,86,6.93
luderitz,0,NA,1574006792,49,-26.65,15.16,71.6,32.21
andros town,75,BS,1574006792,64,24.73,-77.79,75.99,14.99
colares,75,PT,1574006793,93,38.8,-9.45,62.01,9.17
sao gabriel da cachoeira,100,BR,1574006793,51,-0.13,-67.09,92.25,0.87
champerico,75,MX,1574006793,73,16.38,-93.6,71.6,9.17
atambua,93,ID,1574006793,81,-9.11,124.89,76.01,1.74
auki,100,NG,1574006793,14,12.18,6.51,94.91,6.85
port augusta,18,AU,1574006794,82,-32.49,137.76,55.4,5.82
hamilton,20,CA,1574006670,63,43.26,-79.87,36,8.05
sola,100,TZ,1574006794,58,-3.17,33.8,75.72,5.41
fatehpur,0,PK,1574006794,36,31.18,71.21,72.37,2.84
torrington,1,US,1574006511,74,42.06,-104.18,42.01,3.36
lata,0,IN,1574006795,21,30.78,78.62,25.45,7.92
broken hill,0,AU,1574006796,25,-31.97,141.45,62.6,4.7
aitape,100,PG,1574006796,75,-3.15,142.36,80.69,6.49
barcelona,20,ES,1574006796,58,41.38,2.18,59,13.87
buala,99,SB,1574006796,78,-8.15,159.59,80.83,3.56
vuktyl,81,RU,1574006797,95,63.86,57.31,14.9,4.79
ludvika,99,SE,1574006797,100,60.15,15.18,44.01,3.36
xinyu,99,CN,1574006797,69,27.8,114.93,61.23,7.31
sao francisco do sul,75,BR,1574006797,65,-26.24,-48.64,77,6.93
